Time,ObjectCount,FPS,FrameTime(ms),PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.50,5000,537.7,1.8596,0.0000,737,5000
0.50,5000,408.3,2.4490,0.0000,737,5000
0.51,5000,552.1,1.8112,0.0000,737,5000
0.51,5000,526.8,1.8984,0.0000,737,5000
0.51,5000,260.4,3.8405,0.6844,737,5000
0.51,5000,533.6,1.8739,0.0000,737,5000
0.52,5000,516.8,1.9351,0.0000,737,5000
0.52,5000,525.5,1.9030,0.0000,737,5000
0.52,5000,464.9,2.1508,0.0000,737,5000
0.52,5000,528.7,1.8914,0.0000,737,5000
0.52,5000,507.4,1.9709,0.0000,737,5000
0.53,5000,486.5,2.0555,0.0000,737,5000
0.53,5000,461.2,2.1682,0.0000,738,5000
0.53,5000,204.2,4.8968,0.7984,738,5000
0.53,5000,544.3,1.8372,0.0000,738,5000
0.54,5000,518.4,1.9289,0.0000,738,5000
0.54,5000,521.0,1.9195,0.0000,738,5000
0.54,5000,410.8,2.4345,0.0000,738,5000
0.54,5000,396.8,2.5199,0.0000,738,5000
0.55,5000,541.1,1.8481,0.0000,738,5000
0.55,5000,534.5,1.8708,0.0000,738,5000
0.55,5000,262.2,3.8140,0.6712,738,5000
0.55,5000,493.1,2.0280,0.0000,738,5000
0.56,5000,395.6,2.5280,0.0000,738,5000
0.56,5000,543.6,1.8397,0.0000,738,5000
0.56,5000,405.7,2.4647,0.0000,738,5000
0.56,5000,546.7,1.8292,0.0000,738,5000
0.56,5000,479.3,2.0865,0.0000,738,5000
0.57,5000,551.6,1.8130,0.0000,738,5000
0.57,5000,553.8,1.8058,0.0000,738,5000
0.57,5000,235.3,4.2502,0.6707,738,5000
0.57,5000,542.0,1.8449,0.0000,738,5000
0.58,5000,515.0,1.9418,0.0000,738,5000
0.58,5000,550.6,1.8163,0.0000,738,5000
0.58,5000,542.0,1.8449,0.0000,738,5000
0.58,5000,557.3,1.7945,0.0000,739,5000
0.58,5000,560.2,1.7850,0.0000,739,5000
0.58,5000,555.4,1.8006,0.0000,739,5000
0.59,5000,506.0,1.9763,0.0000,739,5000
0.59,5000,211.3,4.7331,0.0000,736,5000
0.60,5000,243.5,4.1072,0.7866,736,5000
0.60,5000,528.0,1.8938,0.0000,736,5000
0.60,5000,536.5,1.8639,0.0000,736,5000
0.60,5000,505.6,1.9779,0.0000,736,5000
0.60,5000,386.2,2.5894,0.0000,736,5000
0.61,5000,499.1,2.0035,0.0000,736,5000
0.61,5000,526.0,1.9010,0.0000,736,5000
0.61,5000,273.4,3.6575,0.6665,736,5000
0.61,5000,444.5,2.2499,0.0000,736,5000
0.62,5000,397.8,2.5139,0.0000,737,5000
0.62,5000,459.1,2.1784,0.0000,737,5000
0.62,5000,405.2,2.4681,0.0000,737,5000
0.62,5000,554.9,1.8022,0.0000,737,5000
0.63,5000,401.6,2.4899,0.0000,737,5000
0.63,5000,392.4,2.5487,0.0000,737,5000
0.63,5000,278.0,3.5973,0.7122,737,5000
0.63,5000,384.5,2.6008,0.0000,737,5000
0.64,5000,554.7,1.8029,0.0000,737,5000
0.64,5000,533.9,1.8729,0.0000,737,5000
0.64,5000,384.7,2.5992,0.0000,737,5000
0.64,5000,492.0,2.0324,0.0000,737,5000
0.64,5000,534.2,1.8718,0.0000,737,5000
0.65,5000,406.2,2.4619,0.0000,737,5000
0.65,5000,401.0,2.4939,0.0000,737,5000
0.65,5000,256.0,3.9064,0.7403,737,5000
0.65,5000,518.6,1.9283,0.0000,737,5000
0.66,5000,383.1,2.6103,0.0000,737,5000
0.66,5000,503.2,1.9873,0.0000,737,5000
0.66,5000,518.6,1.9281,0.0000,737,5000
0.66,5000,507.2,1.9717,0.0000,737,5000
0.67,5000,526.8,1.8983,0.0000,737,5000
0.67,5000,524.9,1.9050,0.0000,737,5000
0.67,5000,266.1,3.7584,0.7041,738,5000
0.67,5000,525.3,1.9038,0.0000,738,5000
0.68,5000,346.1,2.8893,0.0000,738,5000
0.68,5000,526.5,1.8992,0.0000,738,5000
0.68,5000,375.2,2.6650,0.0000,738,5000
0.68,5000,501.1,1.9956,0.0000,738,5000
0.68,5000,523.6,1.9099,0.0000,738,5000
0.69,5000,458.5,2.1811,0.0000,738,5000
0.69,5000,407.1,2.4564,0.0000,738,5000
0.69,5000,252.8,3.9563,0.7936,738,5000
0.70,5000,348.6,2.8687,0.0000,738,5000
0.70,5000,405.6,2.4657,0.0000,738,5000
0.70,5000,403.8,2.4763,0.0000,738,5000
0.70,5000,385.0,2.5975,0.0000,738,5000
0.71,5000,510.5,1.9590,0.0000,738,5000
0.71,5000,506.7,1.9737,0.0000,738,5000
0.71,5000,254.3,3.9319,1.0423,738,5000
0.71,5000,554.0,1.8050,0.0000,738,5000
0.71,5000,553.7,1.8059,0.0000,738,5000
0.72,5000,401.9,2.4882,0.0000,739,5000
0.72,5000,534.2,1.8719,0.0000,739,5000
0.72,5000,409.0,2.4449,0.0000,739,5000
0.72,5000,552.0,1.8116,0.0000,739,5000
0.73,5000,555.0,1.8017,0.0000,739,5000
0.73,5000,549.8,1.8188,0.0000,739,5000
0.73,5000,528.6,1.8918,0.0000,739,5000
0.73,5000,225.2,4.4410,0.7440,739,5000
0.74,5000,518.9,1.9272,0.0000,739,5000
0.74,5000,404.0,2.4754,0.0000,739,5000
0.74,5000,547.0,1.8283,0.0000,739,5000
0.74,5000,406.8,2.4580,0.0000,739,5000
0.74,5000,528.1,1.8935,0.0000,739,5000
0.75,5000,541.5,1.8467,0.0000,739,5000
0.75,5000,537.6,1.8601,0.0000,739,5000
0.75,5000,250.7,3.9896,0.7165,739,5000
0.75,5000,480.4,2.0817,0.0000,739,5000
0.76,5000,513.1,1.9488,0.0000,739,5000
0.76,5000,541.9,1.8455,0.0000,739,5000
0.76,5000,386.1,2.5899,0.0000,739,5000
0.76,5000,406.2,2.4618,0.0000,739,5000
0.76,5000,389.8,2.5651,0.0000,740,5000
0.77,5000,202.2,4.9447,0.0000,740,5000
0.77,5000,235.4,4.2480,0.7638,737,5000
0.78,5000,394.0,2.5383,0.0000,737,5000
0.78,5000,365.3,2.7375,0.0000,737,5000
0.78,5000,492.3,2.0312,0.0000,737,5000
0.78,5000,485.6,2.0594,0.0000,737,5000
0.79,5000,282.2,3.5441,0.0000,737,5000
0.79,5000,214.6,4.6603,0.9878,738,5000
0.79,5000,524.4,1.9069,0.0000,738,5000
0.80,5000,546.0,1.8316,0.0000,738,5000
0.80,5000,530.0,1.8867,0.0000,738,5000
0.80,5000,359.8,2.7791,0.0000,738,5000
0.80,5000,517.4,1.9327,0.0000,738,5000
0.80,5000,506.1,1.9760,0.0000,738,5000
0.81,5000,397.4,2.5164,0.0000,738,5000
0.81,5000,505.6,1.9777,0.0000,738,5000
0.81,5000,237.8,4.2057,0.7946,738,5000
0.81,5000,523.2,1.9114,0.0000,738,5000
0.82,5000,531.1,1.8829,0.0000,738,5000
0.82,5000,534.5,1.8709,0.0000,738,5000
0.82,5000,379.5,2.6348,0.0000,738,5000
0.82,5000,379.3,2.6364,0.0000,738,5000
0.83,5000,508.6,1.9662,0.0000,738,5000
0.83,5000,519.9,1.9236,0.0000,739,5000
0.83,5000,247.8,4.0352,0.8826,739,5000
0.83,5000,519.8,1.9240,0.0000,739,5000
0.84,5000,511.5,1.9552,0.0000,739,5000
0.84,5000,506.7,1.9737,0.0000,739,5000
0.84,5000,434.5,2.3017,0.0000,739,5000
0.84,5000,357.0,2.8010,0.0000,739,5000
0.85,5000,374.7,2.6689,0.0000,739,5000
0.85,5000,394.9,2.5321,0.0000,739,5000
0.85,5000,239.6,4.1739,0.7480,739,5000
0.85,5000,384.8,2.5987,0.0000,739,5000
0.86,5000,397.3,2.5168,0.0000,739,5000
0.86,5000,510.4,1.9594,0.0000,739,5000
0.86,5000,304.1,3.2883,0.0000,739,5000
0.86,5000,509.7,1.9620,0.0000,739,5000
0.87,5000,458.6,2.1807,0.0000,739,5000
0.87,5000,310.6,3.2191,0.0000,739,5000
0.87,5000,205.7,4.8612,1.1061,739,5000
0.88,5000,527.1,1.8973,0.0000,739,5000
0.88,5000,495.6,2.0177,0.0000,739,5000
