Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.55,1000,600.6,0.0000,1144,1000
0.55,1000,697.6,0.0000,1144,1000
0.55,1000,670.6,0.0000,1144,1000
0.55,1000,686.7,0.0000,1144,1000
0.55,1000,592.3,0.0000,1144,1000
0.56,1000,485.0,0.2670,1144,1000
0.56,1000,640.6,0.0000,1144,1000
0.56,1000,641.7,0.0000,1144,1000
0.56,1000,629.8,0.0000,1144,1000
0.56,1000,646.5,0.0000,1144,1000
0.56,1000,633.4,0.0000,1144,1000
0.56,1000,651.0,0.0000,1144,1000
0.57,1000,651.4,0.0000,1144,1000
0.57,1000,569.7,0.0000,1144,1000
0.57,1000,678.9,0.0000,1144,1000
0.57,1000,693.0,0.0000,1144,1000
0.57,1000,689.7,0.0000,1144,1000
0.57,1000,484.1,0.2942,1144,1000
0.58,1000,692.0,0.0000,1144,1000
0.58,1000,688.0,0.0000,1144,1000
0.58,1000,689.4,0.0000,1144,1000
0.58,1000,705.7,0.0000,1144,1000
0.58,1000,675.9,0.0000,1144,1000
0.58,1000,678.7,0.0000,1144,1000
0.58,1000,660.3,0.0000,1144,1000
0.59,1000,669.1,0.0000,1144,1000
0.59,1000,699.5,0.0000,1144,1000
0.59,1000,650.4,0.0000,1144,1000
0.59,1000,646.6,0.0000,1144,1000
0.59,1000,686.0,0.0000,1144,1000
0.59,1000,471.8,0.3080,1144,1000
0.60,1000,662.6,0.0000,1144,1000
0.60,1000,697.1,0.0000,1144,1000
0.60,1000,697.4,0.0000,1144,1000
0.60,1000,663.1,0.0000,1144,1000
0.60,1000,687.1,0.0000,1144,1000
0.60,1000,680.6,0.0000,1144,1000
0.60,1000,648.8,0.0000,1144,1000
0.61,1000,697.5,0.0000,1144,1000
0.61,1000,696.1,0.0000,1144,1000
0.61,1000,673.3,0.0000,1144,1000
0.61,1000,688.0,0.0000,1144,1000
0.61,1000,691.2,0.0000,1144,1000
0.61,1000,444.5,0.3769,1144,1000
0.62,1000,708.0,0.0000,1145,1000
0.62,1000,643.4,0.0000,1145,1000
0.62,1000,677.0,0.0000,1145,1000
0.62,1000,685.9,0.0000,1145,1000
0.62,1000,678.2,0.0000,1144,1000
0.62,1000,693.9,0.0000,1144,1000
0.62,1000,563.5,0.0000,1144,1000
0.63,1000,669.9,0.0000,1144,1000
0.63,1000,678.1,0.0000,1145,1000
0.63,1000,686.7,0.0000,1145,1000
0.63,1000,684.9,0.0000,1144,1000
0.63,1000,707.5,0.0000,1145,1000
0.63,1000,494.8,0.2917,1145,1000
0.64,1000,701.5,0.0000,1145,1000
0.64,1000,702.3,0.0000,1145,1000
0.64,1000,694.8,0.0000,1145,1000
0.64,1000,684.9,0.0000,1145,1000
0.64,1000,711.5,0.0000,1145,1000
0.64,1000,666.3,0.0000,1145,1000
0.64,1000,690.2,0.0000,1145,1000
0.65,1000,700.8,0.0000,1145,1000
0.65,1000,705.1,0.0000,1145,1000
0.65,1000,688.6,0.0000,1145,1000
0.65,1000,692.8,0.0000,1145,1000
0.65,1000,686.6,0.0000,1145,1000
0.65,1000,644.7,0.0000,1145,1000
0.65,1000,417.7,0.2728,1145,1000
0.66,1000,630.6,0.0000,1145,1000
0.66,1000,688.4,0.0000,1145,1000
0.66,1000,679.5,0.0000,1145,1000
0.66,1000,682.8,0.0000,1145,1000
0.66,1000,670.2,0.0000,1145,1000
0.66,1000,688.5,0.0000,1145,1000
0.67,1000,701.8,0.0000,1145,1000
0.67,1000,659.5,0.0000,1145,1000
0.67,1000,694.5,0.0000,1145,1000
0.67,1000,671.1,0.0000,1145,1000
0.67,1000,612.8,0.0000,1145,1000
0.67,1000,676.0,0.0000,1145,1000
